name,adult,male,female,child,eldery,symbol,explanation
radius,0.255,0.27,0.24,0.21,0.25,r,Total radius of the agent
dr,0.035,0.02,0.02,0.015,0.02,dr,Difference bound for total radius
k_t,0.5882,0.5926,0.5833,0.5714,0.6,k_t,Ratio of total radius and radius torso
k_s,0.3725,0.3704,0.375,0.3333,0.36,k_s,Ratio of total radius and radius shoulder
k_ts,0.6275,0.6296,0.625,0.6667,0.64,k_ts,Ratio of total radius and distance from torso to shoulder
v,1.25,1.35,1.15,0.9,0.8,v,Walking speed of agent
dv,0.3,0.2,0.2,0.3,0.3,dv,Difference bound for walking speed
mass,73.5,80,67,57,70,m,Mass of an agent
mass_scale,8,8,6.7,5.7,7,dm,Standard deviation of mass of the agent
